artist_id,artist_name,genres,folowers,popularity
5ndkK3dpZLKtBklKjxNQwT,B.o.B,"['atl hip hop', 'dance pop', 'pop rap', 'rap', 'southern hip hop']",2009823,72
7x5rK9BClDQ8wmCkYAGsQp,Paolo Nutini,"['british soul', 'neo mellow', 'scottish singer-songwriter']",1373272,65
1G9G7WwrXka3Z1r7aIDjI7,Outkast,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",2517194,74
4yBK75WVCQXej1p04GWqxH,Jeezy,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'old school atlanta hip hop', 'rap', 'southern hip hop', 'trap']",2333139,70
2ht3wxeT69CzyKFChNnNAB,Big Boi,"['atl hip hop', 'dirty south rap', 'hip hop', 'southern hip hop']",435334,53
67nwj3Y5sZQLl72VNUHEYE,Wale,"['pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",4080118,69
1RyvyyTE3xzB2ZywiAwp0i,Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",16007166,89
4xRYI6VqpkE3UwrDrAZL8L,Logic,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",5978101,73
7tYKF4w9nC0nq9CsPZTHyP,SZA,"['pop', 'r&b', 'rap']",18106980,90
4psozRvxjEJEOANLHTwA7J,Mr. Pig,['mexican edm'],113354,49
5R3Hr2cnCCjt220Jmt2xLf,Dillon Francis,"['brostep', 'edm', 'electro house', 'moombahton', 'pop dance', 'progressive electro house', 'slap house']",1116473,62
1fX8jmnboOq9aHi7sRfUUl,Fanvel,[],967,1
0m8CM0XSWZaXmtvMnFryrx,Papa Wave,[],141,0
4JprKwueQv8ws3n7N8BLVC,SOLANO,[],4919,23
6E2st8OqIaS7PU5gj95FSE,1Kilo,['pop rap brasileiro'],4402320,59
1UC32JGoil54GhEOHpzmrB,Liuba María Hevia,['trova'],9353,24
0u18Cq5stIQLUoIaULzDmA,DROELOE,"['bass trap', 'electronic trap', 'future bass', 'pop edm', 'vapor twitch']",219182,52
0z5DFXmhT4ZNzWElsM7V89,Erasure,"['new romantic', 'new wave', 'new wave pop', 'synthpop']",1021291,62
0xliTEbFfy5HQHvsTknTkX,Alphaville,"['new romantic', 'new wave pop', 'synthpop']",784795,64
1mZu3rO7qSD09GdDpePHhY,Frankie Goes To Hollywood,"['dance rock', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",787405,57
762310PdDnwsDxAQxzQkfX,Depeche Mode,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'rock', 'synthpop']",6091917,74
2SHhfs4BiDxGQ3oxqf0UHY,Roxette,"['europop', 'swedish pop', 'synthpop']",2135582,70
2uGKgNuq7MnKksXiSO6HjB,KVSH,"['brazilian edm', 'trance brasileiro']",418852,62
5TdUZkpbYaOWn9ec5mWzAm,Jacala,[],904,38
7gXb99Sf9nNmpNYeAgIQFG,Sub Urban,['modern indie pop'],1631515,65
1JOdUvDAzNy3L37rZ4Nigr,pewdiepie,['antiviral pop'],663701,41
3yzRiNMZdTsSUgplcyYZ4i,Blanco Brown,"['black americana', 'country rap']",149889,56
1oyUjl52ohRrCv3EL1UdpM,Confetti,['la pop'],197032,60
7jdFEYD2LTYjfwxOdlVjmc,KALEO,"['icelandic indie', 'icelandic rock', 'modern alternative rock']",1713013,69
24vm5FBjvLpwUiVNcYc8qy,Scotty Sire,['social media pop'],276718,41
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,"['cloud rap', 'emo rap', 'lgbtq+ hip hop']",11596497,82
0CbeG1224FS58EUx4tPevZ,Timmy Trumpet,"['australian dance', 'big room', 'melbourne bounce', 'melbourne bounce international']",1104639,70
23ostNBoB9z6GMXLtHdg7y,Prismo,['bass trap'],174517,49
4qIVPF0s71ZYW3qzhu5GkF,Kina,"['sad lo-fi', 'slowed and reverb']",800548,64
4RtOsPodsZwezkELSr4jPL,Bleeke,[],170,15
